Categoría: Todas las categorías

Semana,переводчик: (España),перекладач: (España)
2020-11-08,25,6
2020-11-15,23,5
2020-11-22,24,3
2020-11-29,27,6
2020-12-06,22,6
2020-12-13,23,5
2020-12-20,19,6
2020-12-27,20,4
2021-01-03,22,5
2021-01-10,25,5
2021-01-17,22,4
2021-01-24,26,3
2021-01-31,26,7
2021-02-07,30,6
2021-02-14,27,5
2021-02-21,24,4
2021-02-28,22,5
2021-03-07,23,7
2021-03-14,25,5
2021-03-21,25,5
2021-03-28,25,4
2021-04-04,23,5
2021-04-11,24,4
2021-04-18,21,5
2021-04-25,24,6
2021-05-02,23,5
2021-05-09,25,5
2021-05-16,24,5
2021-05-23,24,4
2021-05-30,23,5
2021-06-06,24,4
2021-06-13,24,4
2021-06-20,24,4
2021-06-27,24,5
2021-07-04,26,5
2021-07-11,26,7
2021-07-18,25,7
2021-07-25,27,6
2021-08-01,27,4
2021-08-08,26,6
2021-08-15,28,6
2021-08-22,28,4
2021-08-29,24,6
2021-09-05,26,6
2021-09-12,30,7
2021-09-19,29,6
2021-09-26,31,5
2021-10-03,31,7
2021-10-10,37,7
2021-10-17,35,7
2021-10-24,32,5
2021-10-31,35,6
2021-11-07,35,5
2021-11-14,38,6
2021-11-21,34,6
2021-11-28,33,6
2021-12-05,34,7
2021-12-12,34,8
2021-12-19,32,6
2021-12-26,31,7
2022-01-02,28,4
2022-01-09,31,6
2022-01-16,32,8
2022-01-23,31,6
2022-01-30,34,7
2022-02-06,32,8
2022-02-13,32,6
2022-02-20,36,9
2022-02-27,38,10
2022-03-06,41,10
2022-03-13,58,18
2022-03-20,72,20
2022-03-27,81,21
2022-04-03,82,22
2022-04-10,88,23
2022-04-17,81,23
2022-04-24,87,22
2022-05-01,87,24
2022-05-08,88,26
2022-05-15,95,24
2022-05-22,97,26
2022-05-29,90,26
2022-06-05,100,26
2022-06-12,98,25
2022-06-19,90,25
2022-06-26,67,26
2022-07-03,67,23
2022-07-10,71,23
2022-07-17,62,21
2022-07-24,74,24
2022-07-31,66,20
2022-08-07,70,21
2022-08-14,70,18
2022-08-21,68,20
2022-08-28,69,19
2022-09-04,72,20
2022-09-11,67,18
2022-09-18,75,19
2022-09-25,77,19
2022-10-02,84,22
2022-10-09,80,18
2022-10-16,80,19
2022-10-23,81,21
