Categoría: Todas las categorías

Semana,еда: (Ucrania),їжа: (Ucrania)
2017-10-29,85,14
2017-11-05,89,16
2017-11-12,75,26
2017-11-19,80,16
2017-11-26,82,23
2017-12-03,82,20
2017-12-10,79,19
2017-12-17,75,19
2017-12-24,82,16
2017-12-31,83,7
2018-01-07,80,12
2018-01-14,84,14
2018-01-21,74,19
2018-01-28,84,20
2018-02-04,87,14
2018-02-11,96,13
2018-02-18,95,13
2018-02-25,88,13
2018-03-04,90,14
2018-03-11,85,18
2018-03-18,85,19
2018-03-25,88,13
2018-04-01,82,15
2018-04-08,82,11
2018-04-15,80,14
2018-04-22,73,18
2018-04-29,79,15
2018-05-06,82,18
2018-05-13,84,14
2018-05-20,78,15
2018-05-27,93,11
2018-06-03,86,17
2018-06-10,84,15
2018-06-17,77,12
2018-06-24,95,12
2018-07-01,81,10
2018-07-08,87,12
2018-07-15,75,8
2018-07-22,77,7
2018-07-29,84,11
2018-08-05,81,10
2018-08-12,81,13
2018-08-19,92,11
2018-08-26,77,6
2018-09-02,68,14
2018-09-09,71,13
2018-09-16,79,14
2018-09-23,69,11
2018-09-30,78,22
2018-10-07,93,18
2018-10-14,81,17
2018-10-21,84,15
2018-10-28,81,10
2018-11-04,79,20
2018-11-11,76,23
2018-11-18,82,24
2018-11-25,77,23
2018-12-02,72,23
2018-12-09,69,22
2018-12-16,85,18
2018-12-23,85,17
2018-12-30,79,10
2019-01-06,85,12
2019-01-13,82,17
2019-01-20,90,19
2019-01-27,85,24
2019-02-03,78,18
2019-02-10,83,16
2019-02-17,80,18
2019-02-24,78,19
2019-03-03,66,13
2019-03-10,81,20
2019-03-17,81,14
2019-03-24,100,17
2019-03-31,80,13
2019-04-07,85,21
2019-04-14,79,14
2019-04-21,74,15
2019-04-28,79,10
2019-05-05,79,15
2019-05-12,71,18
2019-05-19,75,15
2019-05-26,75,16
2019-06-02,81,14
2019-06-09,80,13
2019-06-16,85,10
2019-06-23,82,16
2019-06-30,82,12
2019-07-07,67,13
2019-07-14,88,16
2019-07-21,81,12
