Category: All categories

Region,переводчик: (10/30/21 - 10/30/22),перекладач: (10/30/21 - 10/30/22)
Odessa Oblast,97,3
Kharkiv Oblast,98,2
Dnipropetrovsk Oblast,96,4
Zaporizhia Oblast,98,2
Sumy Oblast,93,7
Kherson Oblast,97,3
Chernivtsi Oblast,72,28
Poltava Oblast,89,11
Chernihiv Oblast,88,12
Kirovohrad Oblast,89,11
Ternopil Oblast,25,75
Ivano-Frankivsk Oblast,28,72
Kiev Oblast,84,16
Lviv Oblast,29,71
Mykolaiv Oblast,95,5
Zakarpattia Oblast,73,27
Donetsk Oblast,99,1
Volyn Oblast,30,70
Cherkasy Oblast,80,20
Vinnytsia Oblast,73,27
Luhansk Oblast,100,1
Zhytomyr Oblast,76,24
Rivne Oblast,35,65
Khmelnytskyi Oblast,65,35
Autonomous Republic of Crimea,100,1
