Categoría: Todas las categorías

Mes,война: (Ucrania),війна: (Ucrania)
2010-11,15,4
2010-12,14,3
2011-01,16,4
2011-02,15,4
2011-03,15,3
2011-04,21,5
2011-05,18,4
2011-06,12,2
2011-07,12,1
2011-08,12,1
2011-09,16,3
2011-10,15,4
2011-11,30,5
2011-12,19,4
2012-01,20,3
2012-02,24,4
2012-03,22,4
2012-04,19,4
2012-05,22,4
2012-06,17,2
2012-07,15,1
2012-08,15,1
2012-09,16,3
2012-10,13,4
2012-11,15,4
2012-12,14,4
2013-01,15,2
2013-02,20,3
2013-03,21,3
2013-04,20,4
2013-05,17,3
2013-06,23,3
2013-07,24,2
2013-08,20,1
2013-09,23,3
2013-10,17,5
2013-11,14,4
2013-12,15,4
2014-01,15,3
2014-02,17,4
2014-03,38,6
2014-04,25,6
2014-05,24,6
2014-06,21,3
2014-07,26,3
2014-08,32,4
2014-09,20,5
2014-10,16,5
2014-11,17,5
2014-12,16,4
2015-01,20,4
2015-02,23,6
2015-03,16,4
2015-04,16,5
2015-05,18,7
2015-06,14,4
2015-07,14,3
2015-08,15,3
2015-09,15,4
2015-10,13,5
2015-11,14,5
2015-12,14,4
2016-01,14,2
2016-02,15,4
2016-03,14,3
2016-04,12,3
2016-05,15,4
2016-06,12,2
2016-07,12,2
2016-08,12,2
2016-09,10,3
2016-10,10,4
2016-11,12,4
2016-12,11,3
2017-01,12,2
2017-02,13,3
2017-03,11,3
2017-04,12,3
2017-05,12,3
2017-06,11,2
2017-07,13,1
2017-08,12,1
2017-09,11,2
2017-10,12,3
2017-11,11,4
2017-12,11,4
2018-01,12,3
2018-02,12,3
2018-03,12,3
2018-04,17,4
2018-05,27,5
2018-06,16,2
2018-07,15,2
2018-08,17,2
2018-09,12,4
2018-10,11,4
2018-11,12,4
2018-12,11,4
2019-01,11,2
2019-02,11,3
2019-03,16,3
2019-04,17,3
2019-05,16,4
2019-06,12,2
2019-07,12,1
2019-08,11,1
2019-09,10,3
2019-10,10,3
2019-11,11,3
2019-12,31,3
2020-01,17,3
2020-02,17,4
2020-03,16,3
2020-04,15,4
2020-05,16,6
2020-06,11,2
2020-07,11,2
2020-08,10,1
2020-09,12,4
2020-10,21,4
2020-11,11,4
2020-12,9,4
2021-01,10,3
2021-02,9,4
2021-03,12,4
2021-04,17,6
2021-05,14,5
2021-06,11,2
2021-07,12,1
2021-08,10,1
2021-09,9,4
2021-10,9,3
2021-11,10,4
2021-12,11,4
2022-01,19,6
2022-02,75,34
2022-03,100,57
2022-04,54,31
2022-05,35,24
2022-06,29,16
2022-07,26,15
2022-08,23,13
2022-09,23,17
2022-10,21,17
