Categoría: Todas las categorías

Semana,Германия беженцы: (Ucrania),Польша беженцы: (Ucrania),Италия беженцы: (Ucrania),Испании беженцы: (Ucrania),Франция беженцы: (Ucrania)
2022-01-02,0,0,0,0,0
2022-01-09,0,0,0,0,3
2022-01-16,3,0,3,4,0
2022-01-23,0,0,0,0,0
2022-01-30,0,0,0,0,0
2022-02-06,0,0,3,0,0
2022-02-13,0,5,0,0,0
2022-02-20,8,54,2,0,2
2022-02-27,56,86,11,16,7
2022-03-06,77,100,30,23,19
2022-03-13,59,60,16,16,19
2022-03-20,26,16,15,9,7
2022-03-27,24,12,10,8,7
2022-04-03,12,12,10,6,12
2022-04-10,15,13,7,19,6
2022-04-17,7,7,6,11,0
2022-04-24,14,4,3,5,9
2022-05-01,8,7,0,4,0
2022-05-08,7,0,0,3,0
2022-05-15,13,0,5,0,7
2022-05-22,7,11,0,0,0
2022-05-29,6,4,7,0,0
2022-06-05,6,4,0,6,4
2022-06-12,12,4,10,3,0
2022-06-19,4,3,0,0,0
2022-06-26,18,3,0,0,8
2022-07-03,9,5,3,0,0
2022-07-10,0,0,5,0,0
2022-07-17,5,3,0,3,0
2022-07-24,7,5,0,0,0
2022-07-31,10,3,3,5,0
2022-08-07,14,7,3,0,6
2022-08-14,8,5,4,5,0
2022-08-21,9,4,0,3,0
2022-08-28,3,9,8,0,0
2022-09-04,6,8,0,0,0
2022-09-11,0,0,0,4,0
2022-09-18,3,0,0,0,0
2022-09-25,0,0,3,3,0
2022-10-02,5,0,0,3,0
2022-10-09,5,0,0,0,0
2022-10-16,6,0,0,7,0
2022-10-23,6,4,0,0,9
