Categoría: Todas las categorías

Mes,новости: (Ucrania),новини: (Ucrania)
2010-11,18,8
2010-12,17,7
2011-01,17,5
2011-02,20,5
2011-03,20,5
2011-04,17,5
2011-05,16,5
2011-06,16,5
2011-07,18,5
2011-08,20,6
2011-09,19,6
2011-10,18,6
2011-11,17,6
2011-12,16,5
2012-01,16,5
2012-02,17,6
2012-03,17,6
2012-04,16,5
2012-05,15,5
2012-06,16,5
2012-07,16,6
2012-08,15,5
2012-09,14,6
2012-10,15,6
2012-11,16,6
2012-12,16,7
2013-01,15,6
2013-02,15,6
2013-03,16,6
2013-04,16,6
2013-05,15,6
2013-06,16,6
2013-07,17,6
2013-08,17,6
2013-09,15,6
2013-10,17,6
2013-11,17,8
2013-12,25,12
2014-01,29,12
2014-02,50,19
2014-03,63,21
2014-04,50,16
2014-05,60,17
2014-06,50,17
2014-07,64,20
2014-08,65,21
2014-09,49,17
2014-10,38,14
2014-11,36,13
2014-12,37,13
2015-01,46,16
2015-02,52,21
2015-03,39,16
2015-04,33,13
2015-05,34,13
2015-06,39,14
2015-07,36,15
2015-08,35,15
2015-09,32,13
2015-10,29,13
2015-11,33,13
2015-12,30,13
2016-01,32,13
2016-02,34,14
2016-03,33,13
2016-04,32,13
2016-05,32,13
2016-06,32,14
2016-07,36,14
2016-08,38,14
2016-09,31,13
2016-10,29,13
2016-11,31,13
2016-12,30,13
2017-01,29,13
2017-02,33,14
2017-03,30,14
2017-04,30,13
2017-05,31,15
2017-06,33,16
2017-07,36,16
2017-08,35,16
2017-09,34,16
2017-10,33,15
2017-11,32,14
2017-12,31,15
2018-01,32,14
2018-02,31,15
2018-03,32,15
2018-04,30,14
2018-05,31,14
2018-06,30,14
2018-07,30,13
2018-08,31,14
2018-09,30,12
2018-10,28,13
2018-11,35,16
2018-12,31,14
2019-01,30,14
2019-02,27,13
2019-03,29,13
2019-04,35,15
2019-05,30,14
2019-06,31,13
2019-07,31,14
2019-08,29,14
2019-09,27,12
2019-10,25,12
2019-11,22,11
2019-12,24,11
2020-01,27,11
2020-02,25,13
2020-03,47,21
2020-04,40,19
2020-05,29,15
2020-06,31,15
2020-07,31,14
2020-08,34,15
2020-09,29,13
2020-10,30,13
2020-11,29,14
2020-12,26,13
2021-01,25,12
2021-02,22,12
2021-03,26,13
2021-04,29,12
2021-05,25,11
2021-06,24,11
2021-07,24,11
2021-08,25,11
2021-09,22,11
2021-10,24,11
2021-11,24,11
2021-12,22,11
2022-01,23,12
2022-02,81,41
2022-03,100,66
2022-04,66,40
2022-05,46,32
2022-06,40,29
2022-07,39,26
2022-08,36,26
2022-09,30,21
2022-10,35,28
