Categoría: Todas las categorías

Semana,кино: (Ucrania),Нетфликс: (Ucrania)
2021-10-31,48,8
2021-11-07,46,9
2021-11-14,47,8
2021-11-21,49,8
2021-11-28,48,8
2021-12-05,47,7
2021-12-12,58,7
2021-12-19,67,8
2021-12-26,72,10
2022-01-02,100,13
2022-01-09,67,10
2022-01-16,62,10
2022-01-23,59,11
2022-01-30,55,11
2022-02-06,60,12
2022-02-13,55,11
2022-02-20,43,7
2022-02-27,39,9
2022-03-06,39,11
2022-03-13,38,10
2022-03-20,38,9
2022-03-27,36,9
2022-04-03,38,8
2022-04-10,38,10
2022-04-17,37,9
2022-04-24,33,8
2022-05-01,35,8
2022-05-08,33,7
2022-05-15,35,7
2022-05-22,35,8
2022-05-29,35,7
2022-06-05,37,8
2022-06-12,39,8
2022-06-19,39,8
2022-06-26,38,9
2022-07-03,38,8
2022-07-10,40,9
2022-07-17,39,9
2022-07-24,37,8
2022-07-31,36,9
2022-08-07,36,9
2022-08-14,37,9
2022-08-21,37,9
2022-08-28,35,8
2022-09-04,33,7
2022-09-11,33,8
2022-09-18,34,9
2022-09-25,33,8
2022-10-02,32,8
2022-10-09,33,9
2022-10-16,31,9
2022-10-23,36,11
