Categoría: Todas las categorías

Semana,доставка: (Ucrania),ресторан: (Ucrania)
2021-10-31,67,45
2021-11-07,67,44
2021-11-14,70,50
2021-11-21,73,52
2021-11-28,71,54
2021-12-05,78,61
2021-12-12,73,65
2021-12-19,93,68
2021-12-26,100,66
2022-01-02,82,66
2022-01-09,80,61
2022-01-16,76,63
2022-01-23,80,66
2022-01-30,80,68
2022-02-06,82,73
2022-02-13,85,74
2022-02-20,56,42
2022-02-27,39,17
2022-03-06,55,16
2022-03-13,46,17
2022-03-20,47,18
2022-03-27,50,18
2022-04-03,48,17
2022-04-10,53,20
2022-04-17,48,21
2022-04-24,47,21
2022-05-01,66,24
2022-05-08,63,23
2022-05-15,63,27
2022-05-22,58,26
2022-05-29,61,29
2022-06-05,60,33
2022-06-12,65,39
2022-06-19,57,35
2022-06-26,64,35
2022-07-03,62,37
2022-07-10,62,32
2022-07-17,62,39
2022-07-24,59,39
2022-07-31,64,40
2022-08-07,64,43
2022-08-14,64,40
2022-08-21,68,44
2022-08-28,62,43
2022-09-04,61,53
2022-09-11,58,38
2022-09-18,67,39
2022-09-25,67,38
2022-10-02,60,37
2022-10-09,63,31
2022-10-16,61,36
2022-10-23,63,32
