Categoría: Todas las categorías

Semana,работа: (Ucrania),робота: (Ucrania)
2021-10-31,71,58
2021-11-07,69,62
2021-11-14,73,66
2021-11-21,73,64
2021-11-28,70,61
2021-12-05,73,59
2021-12-12,67,64
2021-12-19,64,63
2021-12-26,45,37
2022-01-02,67,40
2022-01-09,76,52
2022-01-16,75,55
2022-01-23,76,63
2022-01-30,79,67
2022-02-06,78,75
2022-02-13,77,68
2022-02-20,52,49
2022-02-27,32,20
2022-03-06,54,40
2022-03-13,67,65
2022-03-20,71,76
2022-03-27,74,79
2022-04-03,72,79
2022-04-10,81,76
2022-04-17,79,76
2022-04-24,84,81
2022-05-01,85,89
2022-05-08,82,88
2022-05-15,93,97
2022-05-22,89,100
2022-05-29,90,81
2022-06-05,92,74
2022-06-12,86,68
2022-06-19,88,68
2022-06-26,78,58
2022-07-03,78,59
2022-07-10,75,58
2022-07-17,77,61
2022-07-24,68,54
2022-07-31,71,53
2022-08-07,66,57
2022-08-14,64,55
2022-08-21,60,52
2022-08-28,66,55
2022-09-04,63,64
2022-09-11,58,67
2022-09-18,62,77
2022-09-25,57,75
2022-10-02,63,82
2022-10-09,52,74
2022-10-16,55,80
2022-10-23,56,76
